Driver,DriverNumber,Team,LapNumber,LapTime,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,IsAccurate,TrackStatus,Deleted,DeletedReason,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds
LEC,16,Ferrari,17,0 days 00:01:19.704000,6.0,,,0 days 00:00:26.438000,0 days 00:00:26.822000,0 days 00:00:26.444000,326.0,340.0,314.0,350.0,SOFT,2.0,True,True,1,,,79.704,26.438,26.822,26.444
LEC,16,Ferrari,18,0 days 00:01:43.079000,6.0,,0 days 01:09:02.325000,0 days 00:00:31.495000,0 days 00:00:31.515000,0 days 00:00:40.069000,264.0,237.0,,210.0,SOFT,3.0,True,False,1,,,103.079,31.495,31.515,40.069
LEC,16,Ferrari,19,,7.0,0 days 01:12:18.148000,,,0 days 00:00:33.616000,0 days 00:00:32.030000,303.0,288.0,319.0,129.0,SOFT,1.0,True,False,1,,,,,33.616,32.03
LEC,16,Ferrari,20,0 days 00:01:19.461000,7.0,,,0 days 00:00:26.373000,0 days 00:00:26.732000,0 days 00:00:26.356000,327.0,341.0,318.0,350.0,SOFT,2.0,True,True,1,,,79.461,26.373,26.732,26.356
LEC,16,Ferrari,21,,7.0,,0 days 01:17:24.813000,0 days 00:00:36.518000,0 days 00:00:36.810000,,214.0,184.0,,182.0,SOFT,3.0,True,False,1,,,,36.518,36.81,
SAI,55,Ferrari,1,,1.0,0 days 00:11:57.718000,,,0 days 00:00:36.762000,0 days 00:00:32.390000,293.0,308.0,316.0,175.0,SOFT,1.0,True,False,1,,,,,36.762,32.39
SAI,55,Ferrari,2,0 days 00:01:23.504000,1.0,,,0 days 00:00:26.404000,0 days 00:00:29.185000,0 days 00:00:27.915000,327.0,305.0,316.0,349.0,SOFT,2.0,True,True,1,,,83.504,26.404,29.185,27.915
SAI,55,Ferrari,3,0 days 00:01:56.850000,1.0,,0 days 00:17:03.607000,0 days 00:00:37.286000,0 days 00:00:35.579000,0 days 00:00:43.985000,255.0,224.0,,184.0,SOFT,3.0,True,False,1,,,116.85,37.286,35.579,43.985
SAI,55,Ferrari,4,,2.0,0 days 00:18:46.193000,,,0 days 00:00:37.398000,0 days 00:00:33.096000,267.0,298.0,318.0,71.0,SOFT,4.0,False,False,1,,,,,37.398,33.096
SAI,55,Ferrari,5,0 days 00:01:20.149000,2.0,,,0 days 00:00:26.403000,0 days 00:00:27.034000,0 days 00:00:26.712000,328.0,338.0,315.0,349.0,SOFT,5.0,False,True,1,,,80.149,26.403,27.034,26.712
SAI,55,Ferrari,6,0 days 00:01:55.818000,2.0,,0 days 00:23:58.361000,0 days 00:00:38.104000,0 days 00:00:35.064000,0 days 00:00:42.650000,248.0,260.0,,182.0,SOFT,6.0,False,False,1,,,115.818,38.104,35.064,42.65
SAI,55,Ferrari,7,,3.0,0 days 00:40:13.020000,,,0 days 00:00:36.538000,0 days 00:00:33.589000,268.0,281.0,315.0,125.0,SOFT,7.0,False,False,12,,,,,36.538,33.589
SAI,55,Ferrari,8,0 days 00:01:20.328000,3.0,,,0 days 00:00:26.427000,0 days 00:00:27.160000,0 days 00:00:26.741000,327.0,337.0,317.0,346.0,SOFT,8.0,False,True,1,,,80.328,26.427,27.16,26.741
SAI,55,Ferrari,9,0 days 00:01:41.620000,3.0,,0 days 00:45:04.506000,0 days 00:00:35.067000,0 days 00:00:31.410000,0 days 00:00:35.143000,256.0,309.0,,159.0,SOFT,9.0,False,False,1,,,101.62,35.067,31.41,35.143
SAI,55,Ferrari,10,0 days 00:02:02.146000,4.0,0 days 00:45:31.714000,,0 days 00:00:53.879000,0 days 00:00:37.801000,0 days 00:00:30.466000,303.0,302.0,320.0,243.0,SOFT,1.0,True,False,1,,,122.146,53.879,37.801,30.466
SAI,55,Ferrari,11,0 days 00:01:19.799000,4.0,,,0 days 00:00:26.348000,0 days 00:00:26.942000,0 days 00:00:26.509000,326.0,337.0,314.0,348.0,SOFT,2.0,True,True,1,,,79.799,26.348,26.942,26.509
